ga_label,ga_weeks,measure,sex,value,z_level
52,52.0,hc,female,41.22,2.0
53,53.0,hc,female,41.55,2.0
54,54.0,hc,female,41.87,2.0
55,55.0,hc,female,42.18,2.0
56,56.0,hc,female,42.48,2.0
57,57.0,hc,female,42.78,2.0
58,58.0,hc,female,43.06,2.0
59,59.0,hc,female,43.34,2.0
60,60.0,hc,female,43.61,2.0
61,61.0,hc,female,43.87,2.0
62,62.0,hc,female,44.12,2.0
63,63.0,hc,female,44.37,2.0
64,64.0,hc,female,44.61,2.0
27,27.0,hc,female,29.18,3.0
28,28.0,hc,female,29.9,3.0
29,29.0,hc,female,30.6,3.0
30,30.0,hc,female,31.29,3.0
31,31.0,hc,female,31.96,3.0
32,32.0,hc,female,32.61,3.0
33,33.0,hc,female,33.25,3.0
34,34.0,hc,female,33.87,3.0
35,35.0,hc,female,34.47,3.0
36,36.0,hc,female,35.05,3.0
37,37.0,hc,female,35.61,3.0
38,38.0,hc,female,36.16,3.0
39,39.0,hc,female,36.69,3.0
40,40.0,hc,female,37.2,3.0
41,41.0,hc,female,37.7,3.0
42,42.0,hc,female,38.18,3.0
43,43.0,hc,female,38.64,3.0
44,44.0,hc,female,39.09,3.0
45,45.0,hc,female,39.53,3.0
46,46.0,hc,female,39.96,3.0
47,47.0,hc,female,40.37,3.0
48,48.0,hc,female,40.77,3.0
49,49.0,hc,female,41.15,3.0
50,50.0,hc,female,41.53,3.0
51,51.0,hc,female,41.89,3.0
52,52.0,hc,female,42.25,3.0
53,53.0,hc,female,42.59,3.0
54,54.0,hc,female,42.92,3.0
55,55.0,hc,female,43.25,3.0
56,56.0,hc,female,43.56,3.0
57,57.0,hc,female,43.87,3.0
58,58.0,hc,female,44.17,3.0
59,59.0,hc,female,44.46,3.0
60,60.0,hc,female,44.74,3.0
61,61.0,hc,female,45.02,3.0
62,62.0,hc,female,45.28,3.0
63,63.0,hc,female,45.54,3.0
64,64.0,hc,female,45.8,3.0
27,27.0,length,male,26.59,-3.0
27,27.0,length,male,28.49,-2.0
