measure,sex,ga_label,ga_weeks,z_level,value,source_file
length,female,39+0,39.0,-2,45.3,international_newborn_size_girls_length_z_long.csv
length,female,39+0,39.0,-1,47.0,international_newborn_size_girls_length_z_long.csv
length,female,39+0,39.0,0,48.7,international_newborn_size_girls_length_z_long.csv
length,female,39+0,39.0,1,50.2,international_newborn_size_girls_length_z_long.csv
length,female,39+0,39.0,2,51.9,international_newborn_size_girls_length_z_long.csv
length,female,39+0,39.0,3,53.9,international_newborn_size_girls_length_z_long.csv
length,female,39+1,39.142857142857146,-3,43.3,international_newborn_size_girls_length_z_long.csv
length,female,39+1,39.142857142857146,-2,45.4,international_newborn_size_girls_length_z_long.csv
length,female,39+1,39.142857142857146,-1,47.1,international_newborn_size_girls_length_z_long.csv
length,female,39+1,39.142857142857146,0,48.7,international_newborn_size_girls_length_z_long.csv
length,female,39+1,39.142857142857146,1,50.3,international_newborn_size_girls_length_z_long.csv
length,female,39+1,39.142857142857146,2,52.0,international_newborn_size_girls_length_z_long.csv
length,female,39+1,39.142857142857146,3,53.9,international_newborn_size_girls_length_z_long.csv
length,female,39+2,39.285714285714285,-3,43.4,international_newborn_size_girls_length_z_long.csv
length,female,39+2,39.285714285714285,-2,45.5,international_newborn_size_girls_length_z_long.csv
length,female,39+2,39.285714285714285,-1,47.2,international_newborn_size_girls_length_z_long.csv
length,female,39+2,39.285714285714285,0,48.8,international_newborn_size_girls_length_z_long.csv
length,female,39+2,39.285714285714285,1,50.4,international_newborn_size_girls_length_z_long.csv
length,female,39+2,39.285714285714285,2,52.1,international_newborn_size_girls_length_z_long.csv
length,female,39+2,39.285714285714285,3,54.0,international_newborn_size_girls_length_z_long.csv
length,female,39+3,39.42857142857143,-3,43.5,international_newborn_size_girls_length_z_long.csv
length,female,39+3,39.42857142857143,-2,45.6,international_newborn_size_girls_length_z_long.csv
length,female,39+3,39.42857142857143,-1,47.3,international_newborn_size_girls_length_z_long.csv
length,female,39+3,39.42857142857143,0,48.9,international_newborn_size_girls_length_z_long.csv
length,female,39+3,39.42857142857143,1,50.5,international_newborn_size_girls_length_z_long.csv
length,female,39+3,39.42857142857143,2,52.1,international_newborn_size_girls_length_z_long.csv
length,female,39+3,39.42857142857143,3,54.1,international_newborn_size_girls_length_z_long.csv
length,female,39+4,39.57142857142857,-3,43.6,international_newborn_size_girls_length_z_long.csv
length,female,39+4,39.57142857142857,-2,45.6,international_newborn_size_girls_length_z_long.csv
length,female,39+4,39.57142857142857,-1,47.4,international_newborn_size_girls_length_z_long.csv
length,female,39+4,39.57142857142857,0,49.0,international_newborn_size_girls_length_z_long.csv
length,female,39+4,39.57142857142857,1,50.6,international_newborn_size_girls_length_z_long.csv
length,female,39+4,39.57142857142857,2,52.2,international_newborn_size_girls_length_z_long.csv
length,female,39+4,39.57142857142857,3,54.1,international_newborn_size_girls_length_z_long.csv
length,female,39+5,39.714285714285715,-3,43.7,international_newborn_size_girls_length_z_long.csv
length,female,39+5,39.714285714285715,-2,45.7,international_newborn_size_girls_length_z_long.csv
length,female,39+5,39.714285714285715,-1,47.5,international_newborn_size_girls_length_z_long.csv
length,female,39+5,39.714285714285715,0,49.1,international_newborn_size_girls_length_z_long.csv
length,female,39+5,39.714285714285715,1,50.6,international_newborn_size_girls_length_z_long.csv
length,female,39+5,39.714285714285715,2,52.3,international_newborn_size_girls_length_z_long.csv
length,female,39+5,39.714285714285715,3,54.2,international_newborn_size_girls_length_z_long.csv
length,female,39+6,39.857142857142854,-3,43.8,international_newborn_size_girls_length_z_long.csv
length,female,39+6,39.857142857142854,-2,45.8,international_newborn_size_girls_length_z_long.csv
length,female,39+6,39.857142857142854,-1,47.6,international_newborn_size_girls_length_z_long.csv
length,female,39+6,39.857142857142854,0,49.2,international_newborn_size_girls_length_z_long.csv
length,female,39+6,39.857142857142854,1,50.7,international_newborn_size_girls_length_z_long.csv
length,female,39+6,39.857142857142854,2,52.4,international_newborn_size_girls_length_z_long.csv
length,female,39+6,39.857142857142854,3,54.3,international_newborn_size_girls_length_z_long.csv
length,female,40+0,40.0,-3,43.9,international_newborn_size_girls_length_z_long.csv
length,female,40+0,40.0,-2,45.9,international_newborn_size_girls_length_z_long.csv
length,female,40+0,40.0,-1,47.6,international_newborn_size_girls_length_z_long.csv
length,female,40+0,40.0,0,49.2,international_newborn_size_girls_length_z_long.csv
length,female,40+0,40.0,1,50.8,international_newborn_size_girls_length_z_long.csv
length,female,40+0,40.0,2,52.4,international_newborn_size_girls_length_z_long.csv
length,female,40+0,40.0,3,54.3,international_newborn_size_girls_length_z_long.csv
length,female,40+1,40.142857142857146,-3,44.0,international_newborn_size_girls_length_z_long.csv
length,female,40+1,40.142857142857146,-2,46.0,international_newborn_size_girls_length_z_long.csv
length,female,40+1,40.142857142857146,-1,47.7,international_newborn_size_girls_length_z_long.csv
length,female,40+1,40.142857142857146,0,49.3,international_newborn_size_girls_length_z_long.csv
length,female,40+1,40.142857142857146,1,50.9,international_newborn_size_girls_length_z_long.csv
length,female,40+1,40.142857142857146,2,52.5,international_newborn_size_girls_length_z_long.csv
length,female,40+1,40.142857142857146,3,54.4,international_newborn_size_girls_length_z_long.csv
length,female,40+2,40.285714285714285,-3,44.0,international_newborn_size_girls_length_z_long.csv
length,female,40+2,40.285714285714285,-2,46.1,international_newborn_size_girls_length_z_long.csv
length,female,40+2,40.285714285714285,-1,47.8,international_newborn_size_girls_length_z_long.csv
length,female,40+2,40.285714285714285,0,49.4,international_newborn_size_girls_length_z_long.csv
length,female,40+2,40.285714285714285,1,50.9,international_newborn_size_girls_length_z_long.csv
length,female,40+2,40.285714285714285,2,52.6,international_newborn_size_girls_length_z_long.csv
length,female,40+2,40.285714285714285,3,54.5,international_newborn_size_girls_length_z_long.csv
length,female,40+3,40.42857142857143,-3,44.1,international_newborn_size_girls_length_z_long.csv
length,female,40+3,40.42857142857143,-2,46.2,international_newborn_size_girls_length_z_long.csv
length,female,40+3,40.42857142857143,-1,47.9,international_newborn_size_girls_length_z_long.csv
length,female,40+3,40.42857142857143,0,49.5,international_newborn_size_girls_length_z_long.csv
length,female,40+3,40.42857142857143,1,51.0,international_newborn_size_girls_length_z_long.csv
length,female,40+3,40.42857142857143,2,52.6,international_newborn_size_girls_length_z_long.csv
length,female,40+3,40.42857142857143,3,54.5,international_newborn_size_girls_length_z_long.csv
length,female,40+4,40.57142857142857,-3,44.2,international_newborn_size_girls_length_z_long.csv
length,female,40+4,40.57142857142857,-2,46.2,international_newborn_size_girls_length_z_long.csv
length,female,40+4,40.57142857142857,-1,48.0,international_newborn_size_girls_length_z_long.csv
length,female,40+4,40.57142857142857,0,49.5,international_newborn_size_girls_length_z_long.csv
length,female,40+4,40.57142857142857,1,51.1,international_newborn_size_girls_length_z_long.csv
length,female,40+4,40.57142857142857,2,52.7,international_newborn_size_girls_length_z_long.csv
length,female,40+4,40.57142857142857,3,54.6,international_newborn_size_girls_length_z_long.csv
length,female,40+5,40.714285714285715,-3,44.3,international_newborn_size_girls_length_z_long.csv
length,female,40+5,40.714285714285715,-2,46.3,international_newborn_size_girls_length_z_long.csv
length,female,40+5,40.714285714285715,-1,48.0,international_newborn_size_girls_length_z_long.csv
length,female,40+5,40.714285714285715,0,49.6,international_newborn_size_girls_length_z_long.csv
length,female,40+5,40.714285714285715,1,51.1,international_newborn_size_girls_length_z_long.csv
length,female,40+5,40.714285714285715,2,52.8,international_newborn_size_girls_length_z_long.csv
length,female,40+5,40.714285714285715,3,54.7,international_newborn_size_girls_length_z_long.csv
length,female,40+6,40.857142857142854,-3,44.4,international_newborn_size_girls_length_z_long.csv
length,female,40+6,40.857142857142854,-2,46.4,international_newborn_size_girls_length_z_long.csv
length,female,40+6,40.857142857142854,-1,48.1,international_newborn_size_girls_length_z_long.csv
length,female,40+6,40.857142857142854,0,49.7,international_newborn_size_girls_length_z_long.csv
length,female,40+6,40.857142857142854,1,51.2,international_newborn_size_girls_length_z_long.csv
length,female,40+6,40.857142857142854,2,52.8,international_newborn_size_girls_length_z_long.csv
length,female,40+6,40.857142857142854,3,54.7,international_newborn_size_girls_length_z_long.csv
length,female,41+0,41.0,-3,44.5,international_newborn_size_girls_length_z_long.csv
length,female,41+0,41.0,-2,46.5,international_newborn_size_girls_length_z_long.csv
length,female,41+0,41.0,-1,48.2,international_newborn_size_girls_length_z_long.csv
